class	Precursor_MZ
Peptidomimetics	1098.0
Peptidomimetics	1098.0
Peptidomimetics	550.0
Peptidomimetics	1227.0
Peptidomimetics	1227.0
Peptidomimetics	614.0
Peptidomimetics	613.5
Organooxygen compounds	925.0
Organooxygen compounds	925.0
Peptidomimetics	1667.0
Peptidomimetics	1667.0
Peptidomimetics	1795.0
Peptidomimetics	898.0
Fatty Acyls	269.248
Tetrapyrroles and derivatives	593.269
Flavonoids	301.0
Flavonoids	269.045
Fatty Acyls	305.249
Steroids and steroid derivatives	369.352
Steroids and steroid derivatives	361.203
Fatty Acyls	283.264
Organonitrogen compounds	318.301
Cinnamic acids and derivatives	225.077
Organonitrogen compounds	286.274
Organonitrogen compounds	300.29
Indoles and derivatives	161.106
Linear 1,3-diarylpropanoids	311.165
Benzene and substituted derivatives	309.043
Benzene and substituted derivatives	263.165
Benzene and substituted derivatives	362.212
Flavonoids	283.1
Flavonoids	303.0
Flavonoids	301.0
Flavonoids	193.0
Flavonoids	271.0
Flavonoids	273.0
Flavonoids	273.0
Flavonoids	269.0
Flavonoids	271.0
Flavonoids	301.0
Flavonoids	591.169
Flavonoids	315.05
Flavonoids	431.094
Flavonoids	433.08
Flavonoids	269.039
Flavonoids	253.046
Flavonoids	269.038
Flavonoids	609.172
Flavonoids	301.066
Flavonoids	463.081
Flavonoids	285.034
Flavonoids	285.035
Flavonoids	431.094
Flavonoids	609.134
Flavonoids	445.104
Flavonoids	593.116
Flavonoids	593.14
Flavonoids	611.172
Flavonoids	303.0
Glycerophospholipids	692.4
Glycerophospholipids	690.51
Coumarins and derivatives	163.034
Flavonoids	285.071
Benzene and substituted derivatives	139.036
Cinnamic acids and derivatives	181.044
Organooxygen compounds	355.095
Tannins	303.01
Benzene and substituted derivatives	171.028
Prenol lipids	251.169
Cinnamic acids and derivatives	165.051
Cinnamic acids and derivatives	361.09
Benzene and substituted derivatives	139.04
Cinnamic acids and derivatives	225.08
Flavonoids	271.055
Imidazopyrimidines	195.096
Isoflavonoids	253.061
Prenol lipids	439.16
Furanoid lignans	433.22
Prenol lipids	359.144
Organooxygen compounds	421.271
Benzopyrans	423.09
Cinnamic acids and derivatives	318.14
Flavonoids	449.11
Flavonoids	303.065
Flavonoids	593.17
Flavonoids	317.065
Flavonoids	271.055
Flavonoids	433.11
Flavonoids	435.09
Flavonoids	271.055
Flavonoids	255.059
Flavonoids	271.053
Flavonoids	303.077
Flavonoids	465.1
Flavonoids	287.047
Flavonoids	287.046
Flavonoids	303.043
Flavonoids	611.16
Flavonoids	447.13
Flavonoids	595.14
Coumarins and derivatives	161.032
Organooxygen compounds	179.044
Organooxygen compounds	353.109
Benzene and substituted derivatives	169.022
